0
-4,763007514236506
-4,102534707569134
-3,6438846791126593
-3,1206931746382907
-2,995378388831739
-2,274902927519122
-2,0273965863156036
-1,6437158471285898
-1,2759104531206162
-1,500196191358782
-0,7405025307913888
0,13895774151893647
1,638614475012787
2,2621566166891967
3,913113641806376
5,518334484953471
7,096956603420722
6,883024969294581
6,960953282723949
6,279759035382369
6,363177963715373
5,140106261652363
3,957572773993604
1,83147286150853
0,6054481755151642
-0,7129591862137659
-2,059779423668772
-3,0560587918543547
-4,873812371125496
-6,298509069090414
-7,225870261649902
-7,23155072139599
-6,4564939544998765
-5,612788459493572
-3,8248238298381807
-2,195916186133047
-0,5969441040936658
0,4262018688797866
1,0770860910169517
2,0348215562496534
3,1387252760521847
3,668895267310404
4,8433161115344205
3,2688837669674626
2,8740987432523184
1,6686385104259784
0,774277498913591
0,4210330798084101
0,2474249665044681
-0,35554242707684125
-0,942700761442893
-1,784583141708083
-1,0463450550446396
0,401552291482858
1,8726300221018164
5,115793108993955
7,6784536258458616
10,597652674910819
11,957337246210784
12,70342005540931
13,02688079301322
13,253487974015115
12,523649362263598
11,063510819515386
8,816045569732978
6,34647162338581
3,2274940638505427
-0,2384137088930629
-2,5240466222944065
-4,46939062072903
-5,089894102720905
-6,612079639306728
-8,371457938998674
-9,378169563684594
-9,728322025267232
-10,625299170136941
-11,621941251725843
-11,635927881279429
-12,108089521086129
-11,428726166470028
-11,432794107594475
-12,185172318694413
-12,687759030189227
-12,211645986734993
-10,153464985259234
-7,019301773471113
-3,598986220402935
-0,31259907988334135
2,0418168943066917
3,6995105268483712
4,802703010543269
5,567059233229145
4,725652125920135
4,274926054322009
3,6112243034465337
3,137365083640475
2,3330529449994515
1,7534183625342052
1,266428158049564
0,6187072595670315
-0,2840483725569811
0,30366392713580126
1,9574157513467867
1,8455082401350182
2,6279370291140367
4,282177412573446
7,171435232353701
7,769110790307536
6,974862483212462
4,708874530845719
2,904608825468415
2,5684494978907537
3,108303727987618
4,233486548142537
4,65771909884262
6,169053088432463
7,205514364353633
6,374272901729626
4,813623992611326
3,8246969814895238
3,2117372049954724
3,038555140955907
1,446288749331984
1,6584797375102198
1,6695397315989453
1,3420565951466301
0,7795837329123287
0,037528454298637826
-0,28917878061116653
0,05971010267381871
0,5150540491181346
1,0382269093763625
1,7437782149083887
2,3604038994681673
3,267036815715528
3,6592496884413777
4,099198488849709
5,444490778292959
7,035325050974336
7,650195978579461
8,406337233847694
9,363410003822764
11,107391789760698
10,453598891131037
9,524521856214562
7,971202816325217
6,62415104809827
6,089268224897921
5,706919349507075
4,44415932935982
3,2831359046003854
3,148178240416371
2,1510645056079056
0,31868353513618786
-1,8522806158824778
-2,7947793609342853
-3,5270340465244203
-4,142968332473458
-3,8247129913150957
-3,762669957612218
-4,212045047565539
